name,url,state,court_type,category,notes
Local Rules,http://www.cod.uscourts.gov/CourtOperations/RulesProcedures/LocalRules.aspx,CO,federal,all,Group: CO USDC
Pilot Projects,http://www.cod.uscourts.gov/CourtOperations/RulesProcedures/PilotProjects.aspx,CO,federal,all,Group: CO USDC
Holiday Schedule,http://www.cod.uscourts.gov/CourtOperations/FAQs.aspx,CO,federal,all,Group: CO USDC
Northern District - Local Rules,https://www.flnd.uscourts.gov/local-rules,FL,federal,all,Group: FL USDC
Northern District - Holiday Schedule,https://www.flnd.uscourts.gov/node/29,FL,federal,all,Group: FL USDC
Northern District - Home Page (News),https://www.flnd.uscourts.gov/,FL,federal,all,Group: FL USDC
Middle District - Home Page,https://www.flmd.uscourts.gov/,FL,federal,all,Group: FL USDC
Middle District - Local Rules,https://www.flmd.uscourts.gov/local-rules,FL,federal,all,Group: FL USDC
Middle District - Holiday Schedule,https://www.flmd.uscourts.gov/holidays,FL,federal,all,Group: FL USDC
Southern District - Home Page (News),https://www.flsd.uscourts.gov/,FL,federal,all,Group: FL USDC
Southern District - Local Rules,https://www.flsd.uscourts.gov/local-rules-and-procedures,FL,federal,all,Group: FL USDC
Southern District - Holiday Schedule,https://www.flsd.uscourts.gov/court-hours-holidays,FL,federal,all,Group: FL USDC
Judge Allyne R. Ross,https://www.nyed.uscourts.gov/district-judge-allyne-r-ross,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Ann M. Donnelly,https://www.nyed.uscourts.gov/district-judge-ann-m-donnelly,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Brian M. Cogan,https://www.nyed.uscourts.gov/district-judge-brian-m-cogan,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Carol Bagley Amon,https://www.nyed.uscourts.gov/district-judge-carol-bagley-amon,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Dora L. Irizarry,https://www.nyed.uscourts.gov/district-judge-dora-l-irizarry,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Eric N. Vitaliano,https://www.nyed.uscourts.gov/district-judge-eric-n-vitaliano,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Eric R. Komitee,https://www.nyed.uscourts.gov/district-judge-eric-r-komitee,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Frederic Block,https://www.nyed.uscourts.gov/district-judge-frederic-block,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Gary R. Brown,https://www.nyed.uscourts.gov/district-judge-gary-r-brown,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Hector Gonzalez,https://www.nyed.uscourts.gov/district-judge-hector-gonzalez,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge I. Leo Glasser,https://www.nyed.uscourts.gov/district-judge-i-leo-glasser,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Joan M. Azrack,https://www.nyed.uscourts.gov/district-judge-joan-m-azrack,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Joanna Seybert,https://www.nyed.uscourts.gov/district-judge-joanna-seybert,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Diane Gujarati,https://www.nyed.uscourts.gov/district-judge-diane-gujarati,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Kiyo A. Matsumoto,https://www.nyed.uscourts.gov/district-judge-kiyo-matsumoto,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Margo K. Brodie,https://www.nyed.uscourts.gov/index.php/chief-judge-margo-k-brodie,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Nicholas G. Garaufis,https://www.nyed.uscourts.gov/index.php/district-judge-nicholas-g-garaufis,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Nina Gershon,https://www.nyed.uscourts.gov/index.php/district-judge-nina-gershon,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Nina R. Morrison,https://www.nyed.uscourts.gov/district-judge-nina-r-morrison,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Pamela K. Chen,https://www.nyed.uscourts.gov/index.php/district-judge-pamela-k-chen,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Rachel P. Kovner,https://www.nyed.uscourts.gov/district-judge-rachel-p-kovner,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Raymond J. Dearie,https://www.nyed.uscourts.gov/index.php/district-judge-raymond-j-dearie,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge William F. Kuntz,https://www.nyed.uscourts.gov/district-judge-william-f-kuntz,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Sanket J. Bulsara,https://www.nyed.uscourts.gov/index.php/district-judge-sanket-j-bulsara,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Nusrat J. Choudhury,https://www.nyed.uscourts.gov/index.php/district-judge-nusrat-j-choudhury,NY,federal,all,Group: NY USDC - Eastern District Judges
Judge Natasha C. Merle,https://www.nyed.uscourts.gov/district-judge-natasha-c-merle,NY,federal,all,Group: NY USDC - Eastern District Judges
